Dgraph Name,Reason 1,Reason 2,Reason 3,Reason 4,New Name,Comment
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_EmergencyFault.Alm.stVal,Lower case f,,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Emergencyfault.Alm.stVal,
DBA.OCS.OFTO.T2AXC1A1_EmergencyFault.Alm.stVal,Add HVDC.AuxiliaryComputer.1A1,Lower case f,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Emergencyfault.Alm.stVal,
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_MinorFault.Ind.stVal,Lower case f,,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Minorfault.Ind.stVal,
DBA.OCS.OFTO.T2AXC1A1_MinorFault.Ind.stVal,Add HVDC.AuxiliaryComputer.1A1,Lower case f,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Minorfault.Ind.stVal,
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_OffState.Ind.stVal,Lower case s,,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Offstate.Ind.stVal,
DBA.OCS.OFTO.T2AXC1A1_OffState.Ind.stVal,Add HVDC.AuxiliaryComputer.1A1,Lower case s,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Offstate.Ind.stVal,
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_SevereFault.Wrn.stVal,Lower case f,,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Severefault.Wrn.stVal,
DBA.OCS.OFTO.T2AXC1A1_SevereFault.Wrn.stVal,Add HVDC.AuxiliaryComputer.1A1,Lower case f,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Severefault.Wrn.stVal,
DBA.OCS.OFTO.T2AXC1A1_StandbyState.Ind.stVal,Add HVDC.AuxiliaryComputer.1A1,,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_StandbyState.Ind.stVal,
DBA.OCS.OFTO.T2AXC1A1_Temperature.TmpSv.instMag,Add HVDC.AuxiliaryComputer.1A1,,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Temperature.TmpSv.instMag,
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_ActiveState.Ind.stVal,Lower case s,,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Activestate.Ind.stVal,
DBA.OCS.OFTO.T2AXC1B1_ActiveState.Ind.stVal,Add HVDC.AuxiliaryComputer.1B1,Lower case s,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Activestate.Ind.stVal,
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_EmergencyFault.Alm.stVal,Lower case f,,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Emergencyfault.Alm.stVal,
DBA.OCS.OFTO.T2AXC1B1_EmergencyFault.Alm.stVal,Add HVDC.AuxiliaryComputer.1B1,Lower case f,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Emergencyfault.Alm.stVal,
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_MinorFault.Ind.stVal,Lower case f,,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Minorfault.Ind.stVal,
DBA.OCS.OFTO.T2AXC1B1_MinorFault.Ind.stVal,Add HVDC.AuxiliaryComputer.1B1,Lower case f,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Minorfault.Ind.stVal,
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_OffState.Ind.stVal,Lower case s,,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Offstate.Ind.stVal,
DBA.OCS.OFTO.T2AXC1B1_OffState.Ind.stVal,Add HVDC.AuxiliaryComputer.1B1,Lower case s,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Offstate.Ind.stVal,
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_SevereFault.Wrn.stVal,Lower case f,,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Severefault.Wrn.stVal,
DBA.OCS.OFTO.T2AXC1B1_SevereFault.Wrn.stVal,Add HVDC.AuxiliaryComputer.1B1,Lower case f,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Severefault.Wrn.stVal,
DBA.OCS.OFTO.T2AXC1B1_StandbyState.Ind.stVal,Add HVDC.AuxiliaryComputer.1B1,,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_StandbyState.Ind.stVal,
DBA.OCS.OFTO.T2AXC1B1_Temperature.TmpSv.instMag,Add HVDC.AuxiliaryComputer.1B1,,,,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1B1.T2AXC1B1_Temperature.TmpSv.instMag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.Trafo.C-82ET529A_AuxTrafoWindingtemp.TmpSv.instMag,Auxiliary Power System -> AuxiliarySystem,,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.AuxiliaryTransformer.C-82ET529A_AuxTrafoWindingtemp.TmpSv.instMag,
DBA.OCS.OFTO.HVDC.Auxiliary Power System.Trafo.C-82ET529B_AuxTrafoWindingtemp.TmpSv.instMag,Auxiliary Power System -> AuxiliarySystem,AuxiliaryTransformer instead of Trafo,,,DBA.OCS.OFTO.HVDC.AuxiliarySystem.AuxiliaryTransformer.C-82ET529B_AuxTrafoWindingtemp.TmpSv.instMag,
