Dgraph Name,New Name
DBA.WTUR.P15GD.WGEN.TurSupAuxTrf.stVal,DBA.WTUR.StringG.P15GD.WGEN.TurSupAuxTrf.stVal
DBA.WTUR.P35ND.WAVL.IaogppExtTms.tmsVal.stVal,DBA.WTUR.StringN.P35ND.WAVL.IaogppExtTms.tmsVal.stVal
DBA.WTUR.P32MF.WGEN.LubPresDropOffNum.actVal,DBA.WTUR.StringM.P32MF.WGEN.LubPresDropOffNum.actVal
DBA.WTUR.P37PE.WROT.BlPthMotPos3.mag,DBA.WTUR.StringP.P37PE.WROT.BlPthMotPos3.mag
DBA.WTUR.G01LB.WNAC.IntnTmp.mag,DBA.WTUR.StringL.G01LB.WNAC.IntnTmp.mag
DBA.WTUR.P42QC.WTRF.P42QC_Hydran.LevHlyHi.stVal,DBA.WTUR.StringQ.P42QC.WTRF.Hydran.LevHlyHi.stVal
DBA.WTUR.P53CD.WROT.BlPthHyPres.mag,DBA.WTUR.StringC.P53CD.WROT.BlPthHyPres.mag
DBA.WTUR.D01ME.WGEN.SttTmp4.mag,DBA.WTUR.StringM.D01ME.WGEN.SttTmp4.mag
DBA.OCS.OFTO.HVDC.Auxiliary Power System.LVS.C-82EL501A.PPV.phsAB.cVal.mag,DBA.OCS.OFTO.HVDC.AuxiliarySystem.LVS.C-82EL501A.PPV.phsAB.cVal.mag
DBA.WTUR.P53CD.WAPC.WSpt.val,DBA.WTUR.StringC.P53CD.WAPC.WSpt.val
DBA.WTUR.P49AF.WAVL.IaogppIntTms.tmsVal.stVal,DBA.WTUR.StringA.P49AF.WAVL.IaogppIntTms.tmsVal.stVal
DBA.WTUR.P57DE.WTRF.P57DE_Hydran.SysFltAlm.stVal,DBA.WTUR.StringD.P57DE.WTRF.Hydran.SysFltAlm.stVal
DBA.WTUR.G03JA.WTUR.AirConditionSt.stVal,DBA.WTUR.StringJ.G03JA.WTUR.AirConditionSt.stVal
DBA.WTUR.E01MD.WTRF.E01MD_Hydran.SysOkRelaySt.stVal,DBA.WTUR.StringM.E01MD.WTRF.Hydran.SysOkRelaySt.stVal
DBA.WTUR.P29LD.WNAC.PosOkSt.stVal,DBA.WTUR.StringL.P29LD.WNAC.PosOkSt.stVal
DBA.WTUR.A07BC.WNAC.IntnTmp.mag,DBA.WTUR.StringB.A07BC.WNAC.IntnTmp.mag
DBA.WTUR.P57DE.WTUR.ExtPwrLimSetSt.stVal,DBA.WTUR.StringD.P57DE.WTUR.ExtPwrLimSetSt.stVal
DBA.WTUR.P45RD.WTUR.AirConditionSt.stVal,DBA.WTUR.StringR.P45RD.WTUR.AirConditionSt.stVal
DBA.WTUR.P37PE.WGEN.VFD1OnSt.stVal,DBA.WTUR.StringP.P37PE.WGEN.VFD1OnSt.stVal
DBA.WTUR.B04QB.WTUR.PwrBckHzOkSt.stVal,DBA.WTUR.StringQ.B04QB.WTUR.PwrBckHzOkSt.stVal
DBA.WTUR.E01MD.WCNV.GriPNV.phsB.cVal.mag,DBA.WTUR.StringM.E01MD.WCNV.GriPNV.phsB.cVal.mag
DBA.WTUR.P08FB.WNAC.PosOkSt.stVal,DBA.WTUR.StringF.P08FB.WNAC.PosOkSt.stVal
DBA.WTUR.G01LB.WMET.HorWdSpd2.mag,DBA.WTUR.StringL.G01LB.WMET.WdSpd2.mag
DBA.WTUR.F01LA.WTOW.PwrSupReDehum2CBCnt.actVal,DBA.WTUR.StringL.F01LA.WTOW.PwrSupReDehum2CBCnt.actVal
DBA.WTUR.C08DB.WTUR.GriCut.stVal,DBA.WTUR.StringD.C08DB.WTUR.GriCut.stVal
DBA.WTUR.C03PB.WTRF.C03PB_Hydran.H2OppmHly.mag,DBA.WTUR.StringP.C03PB.WTRF.Hydran.H2OppmHly.mag
DBA.WTUR.P09FC.WNAC.Fan1FltSt.stVal,DBA.WTUR.StringF.P09FC.WNAC.Fan1FltSt.stVal
DBA.WTUR.P02EE.WTRF.P02EE_Hydran.ReplaceSnNowAlm.stVal,DBA.WTUR.StringE.P02EE.WTRF.Hydran.ReplaceSnNowAlm.stVal
DBA.WTUR.P25KE.WROT.BlPthHyPres.mag,DBA.WTUR.StringK.P25KE.WROT.BlPthHyPres.mag
DBA.WTUR.D05RA.WCNV.TmpCtlHi.stVal,DBA.WTUR.StringR.D05RA.WCNV.TmpCtlHi.stVal
DBA.WTUR.StringP.C03PB.WGEN.GnClAlm.stVal,DBA.WTUR.StringP.C03PB.WGEN.GnClAlm.st.stVal
DBA.WTUR.G02KA.WGEN.RsCmdSCADAHMI.stVal,DBA.WTUR.StringK.G02KA.WGEN.RsCmdSCADAHMI.stVal
DBA.WTUR.C06BA.WTRF.C06BA_Hydran.Tmp.mag,DBA.WTUR.StringB.C06BA.WTRF.Hydran.Tmp.mag
DBA.OCS.OFTO.HVDC.Valve Cooling.C_80PV7019.ClsPos.stVal,DBA.OCS.OFTO.HVDC.ValveCooling.C-80PV7019.ClsPos.stVal
DBA.WTUR.P25KE.WCNV.GriHz3.mag,DBA.WTUR.StringK.P25KE.WCNV.GriHz3.mag
DBA.WTUR.C08DB.WGEN.GnClStFbk.stVal,DBA.WTUR.StringD.C08DB.WGEN.GnClStFbk.stVal
DBA.WTUR.P36PF.WAVL.IaongrsTms.tmsVal.stVal,DBA.WTUR.StringP.P36PF.WAVL.IaongrsTms.tmsVal.stVal
DBA.WTUR.P34NE.WGEN.GnMagnetTmpHiHiFastExceedanceAlm.stVal,DBA.WTUR.StringN.P34NE.WGEN.GnMagnetTmpHiHiFastExceedanceAlm.stVal
DBA.WTUR.P41QD.WGEN.VFD3OffSt.stVal,DBA.WTUR.StringQ.P41QD.WGEN.VFD3OffSt.stVal
DBA.WTUR.P43RF.WTUR.DieselGnOnSt.stVal,DBA.WTUR.StringR.P43RF.WTUR.DieselGnOnSt.stVal
DBA.WTUR.P08FB.WGEN.TurSupAuxTrf.stVal,DBA.WTUR.StringF.P08FB.WGEN.TurSupAuxTrf.stVal
DBA.WTUR.H02JB.WGEN.SttTmp8.mag,DBA.WTUR.StringJ.H02JB.WGEN.SttTmp8.mag
DBA.WTUR.D04PA.WGEN.VFD5AvlSt.stVal,DBA.WTUR.StringP.D04PA.WGEN.VFD5AvlSt.stVal
DBA.WTUR.P46AC.WTUR.CtlBrkProcedureActSt.stVal,DBA.WTUR.StringA.P46AC.WTUR.CtlBrkProcedureActSt.stVal
DBA.WTUR.P09FC.WTRF.P09FC_Hydran.LevHlyHi.stVal,DBA.WTUR.StringF.P09FC.WTRF.Hydran.LevHlyHi.stVal
DBA.WTUR.P42QC.WGEN.VFD1OffSt.stVal,DBA.WTUR.StringQ.P42QC.WGEN.VFD1OffSt.stVal
DBA.WTUR.StringD.P57DE.WTUR.TurDateTm.mag,DBA.WTUR.StringD.P57DE.WTUR.TurDateTm.mag
DBA.WTUR.E03MB.WNAC.IntnTmp.mag,DBA.WTUR.StringM.E03MB.WNAC.IntnTmp.mag
DBA.WTUR.C06BA.WGEN.VFD3AvlSt.stVal,DBA.WTUR.StringB.C06BA.WGEN.VFD3AvlSt.stVal
DBA.WTUR.P25KE.WTRF.P25KE_Hydran.ReplaceSnNowAlm.stVal,DBA.WTUR.StringK.P25KE.WTRF.Hydran.ReplaceSnNowAlm.stVal
DBA.WTUR.StringE.P01EF.WTUR.TurStSCADAM6eWebHMI.stVal,DBA.WTUR.StringE.P01EF.WTUR.TurStSCADAM6eWebHMI.st.stVal
DBA.OSP.SAS.System85.P-85ER001A-U22C.HSI.X_Value,DBA.OSP.SAS.System85.P-85ER001A-U22C.X.Value
DBA.WTUR.P05EB.WGEN.SttTmp3.mag,DBA.WTUR.StringE.P05EB.WGEN.SttTmp3.mag
DBA.WTUR.P45RD.WROT.RotSt.st.stVal,DBA.WTUR.StringR.P45RD.WROT.RotSt.st.stVal
DBA.WTUR.P42QC.WTRF.P42QC_Hydran.VAr.mag,DBA.WTUR.StringQ.P42QC.WTRF.Hydran.VAr.mag
DBA.WTUR.P24KF.WTRF.P24KF_Hydran.ActAlm.stVal,DBA.WTUR.StringK.P24KF.WTRF.Hydran.ActAlm.stVal
DBA.WTUR.P18HC.WAPC.WSpt.val,DBA.WTUR.StringH.P18HC.WAPC.WSpt.val
DBA.WTUR.P34NE.WGEN.VFD1AvlSt.stVal,DBA.WTUR.StringN.P34NE.WGEN.VFD1AvlSt.stVal
DBA.WTUR.E03MB.WTRF.E03MB_Hydran.Alm2RelaySt.stVal,DBA.WTUR.StringM.E03MB.WTRF.Hydran.Alm2RelaySt.stVal
DBA.WTUR.P03ED.WROT.BlPthAngTgt3.mag,DBA.WTUR.StringE.P03ED.WROT.BlPthAngTgt3.mag
DBA.WTUR.StringB.A07BC.WTUR.TurStSCADAM6eWebHMI.stVal,DBA.WTUR.StringB.A07BC.WTUR.TurStSCADAM6eWebHMI.st.stVal
DBA.WTUR.P58DF.WTUR.ElectricalProtSysAlm.stVal,DBA.WTUR.StringD.P58DF.WTUR.ElectricalProtSysAlm.st.stVal
DBA.WTUR.G03JA.WTRF.G03JA_Hydran.ActAlm.stVal,DBA.WTUR.StringJ.G03JA.WTRF.Hydran.ActAlm.stVal
DBA.WTUR.P22JE.WCNV.GriW.mag,DBA.WTUR.StringJ.P22JE.WCNV.GriW.mag
DBA.OSP.WFO.66kV.M-80EH510-Q10.REL650_PRP.ChLiv.stVal,DBA.OSP.WFO.66kV.M-80EH510-Q10.REL650.REL650_PRP.ChLiv.stVal
DBA.WTUR.StringE.P03ED.WMET.HorWdSpd2.mag,DBA.WTUR.StringE.P03ED.WMET.WdSpd2.mag
DBA.WTUR.P46AC.WTRF.P46AC_Hydran.H2Oppm.mag,DBA.WTUR.StringA.P46AC.WTRF.Hydran.H2Oppm.mag
DBA.WTUR.H01KB.WTUR.SafStopSt.stVal,DBA.WTUR.StringK.H01KB.WTUR.SafStopSt.stVal
DBA.WTUR.B04QB.WTUR.HMISoftwareVersionDigit3.stVal,DBA.WTUR.StringQ.B04QB.WTUR.HMISoftwareVersionDigit3.stVal
DBA.WTUR.P01EF.WGEN.SttTmp6.mag,DBA.WTUR.StringE.P01EF.WGEN.SttTmp6.mag
DBA.WTUR.P24KF.WTRF.P24KF_Hydran.ReplaceSnSoonAlm.stVal,DBA.WTUR.StringK.P24KF.WTRF.Hydran.ReplaceSnSoonAlm.stVal
DBA.WTUR.H02JB.WROT.BlPthAngTgt1.mag,DBA.WTUR.StringJ.H02JB.WROT.BlPthAngTgt1.mag
DBA.WTUR.P31LF.WGEN.SttTmp4.mag,DBA.WTUR.StringL.P31LF.WGEN.SttTmp4.mag
DBA.WTUR.P07FA.WTRF.P07FA_Hydran.H2OHiHi.stVal,DBA.WTUR.StringF.P07FA.WTRF.Hydran.H2OHiHi.stVal
DBA.OSP.SAS.System 85.P-85ER001A-U22B.HSI.X_Value,DBA.OSP.SAS.System85.P-85ER001A-U22B.X.Value
DBA.WTUR.P19HD.WTUR.GriCutDscon.stVal,DBA.WTUR.StringH.P19HD.WTUR.GriCutDscon.stVal
DBA.WTUR.StringE.P02EE.WTUR.TurStSCADANamOn.stVal,DBA.WTUR.StringE.P02EE.WTUR.TurStSCADANamOn.st.stVal
DBA.WTUR.B08DC.WNAC.IntnTmp.mag,DBA.WTUR.StringD.B08DC.WNAC.IntnTmp.mag
DBA.OSP.SAS.System50.P-50UA0008.HSI.X_Value,DBA.OSP.SAS.System50.P-50UA0008.X.Value
DBA.WTUR.G03JA.WGEN.SttTmp6.mag,DBA.WTUR.StringJ.G03JA.WGEN.SttTmp6.mag
DBA.OSP.WFO.66kV.M-80EH510-Q10.QA1-10L5_SF6_STAGE_1.InsAlm.stVal,DBA.OSP.WFO.66kV.M-80EH511-Q28.REC670.EMERGENCY_TRIP.Tr.general
DBA.WTUR.P27KC.WROT.BlPthMotPos3.mag,DBA.WTUR.StringK.P27KC.WROT.BlPthMotPos3.mag
DBA.WTUR.B07BB.WTOW.PwrSupReDehum2CBCnt.actVal,DBA.WTUR.StringB.B07BB.WTOW.PwrSupReDehum2CBCnt.actVal
DBA.WTUR.E03MB.WTOW.CWO1PwrHi.stVal,DBA.WTUR.StringM.E03MB.WTOW.CWO1PwrHi.stVal
DBA.WTUR.P15GD.WCNV.GriPNV.phsB.cVal.mag,DBA.WTUR.StringG.P15GD.WCNV.GriPNV.phsB.cVal.mag
DBA.WTUR.E01MD.WTRF.E01MD_Hydran.Alm1RelaySt.stVal,DBA.WTUR.StringM.E01MD.WTRF.Hydran.Alm1RelaySt.stVal
