Dgraph Name,New Name,createdTimeNewTag
DBA.OCS.OFTO.X115DCB_L2_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.X115DCB_L2_SF6_PRESSURE.PresSv.instMag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.X115DCB_L3_SF6_PRESSURE.PresSv.instMag,DBA.OCS.OFTO.HVAC.SF6Breakers.X115DCB_L3_SF6_PRESSURE.PresSv.instMag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_ActiveState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Activestate.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.T2AXC1A1_ActiveState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Activestate.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_EmergencyFault.Alm.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Emergencyfault.Alm.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.T2AXC1A1_EmergencyFault.Alm.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Emergencyfault.Alm.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_MinorFault.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Minorfault.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.T2AXC1A1_MinorFault.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Minorfault.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_OffState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Offstate.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.T2AXC1A1_OffState.Ind.stVal,DBA.OCS.OFTO.HVDC.AuxiliaryComputer.1A1.T2AXC1A1_Offstate.Ind.stVal,2024-03-01 23:59:59.999999
