old_tep_id,new_tep_id
89398c66-05c6-457a-8220-c2502eb03e21,89398c66-05c6-457a-8220-c2502eb03e21
8c9b31e0-78ef-4219-85a3-3c3cc8c3fe67,
96ace930-83da-46c8-8f03-8c8a89932034,
0a532e40-2d8e-4e90-ae35-56fd4722b091,
0dcb62eb-edde-462c-bd9c-28de137ff3a0,
49c38dd0-6c33-4119-9a03-fa676b3e072c,57e4323a-4cbb-432c-8dc4-4f384d65317c
fc3da189-a99b-4874-b215-3f2772d07c06,185c9df0-b3a5-440c-80cd-13e7437717d4
95c39fce-80c8-405d-b732-1246c37f1e7e,458739ff-72ab-4f53-9bb7-80bf5b0c290b
9bc76af1-7f58-4dba-91cd-603fe45bfa51,a79e8530-674b-42a8-babe-1a8b4ac1bf36
75f22478-8915-48b0-b6ad-28f7c9119834,812ab2e6-0704-4134-80a3-1a1b21f4ecc1
7c509c54-f14a-4282-b81b-b1d93b8d1451,17ce57bd-92bb-45ce-b170-99018f06db21
1f71b41e-a9d9-42d7-9f9a-bc23c32ed331,a61d9dde-98cd-406d-aedb-dd05c6be0c20
329ea026-1234-4944-a608-aadf29102df2,af6c0739-caef-4a7f-b02d-0ff3aebf6de5
0a81ff21-5eae-41ce-9be0-b90a21bd826a,50d1e1a5-bb19-4ab5-8a00-3c40a80d1c4e
9979a9ce-ff92-4bdb-9cef-7b17a11d4593,f0287d44-312e-4640-969b-d2d94a100fed
12465c11-1c01-4ee0-9c28-21d55f375a6a,119bd991-4f0a-40ed-bcd5-9a41bc353d5c
a3f37606-c246-43a2-898f-9d4034f26384,b2408e15-e673-467a-8fbb-6dbf72d5a8fc
1da4fd67-dcd9-45d7-b1fa-913209ee4882,c1339577-ed0e-497e-a716-c88908b3ca64
54270905-3ef1-49e0-995d-dcb6e08035a9,45f6c473-d62c-4638-965d-b65d478e85bb
d859319e-5daa-4077-8d6a-04aa43a6b286,7835b224-8a82-4e5d-a50f-c0f1419e2c4e
690c2040-1498-41f3-9340-fc3c08c27b90,98ac9b3d-232a-44da-8531-83e5e124fcc0
ba9a521d-8295-4218-a541-8fc05c106371,071c627d-daa3-46c0-866a-698aab153bb9
ff9edddb-29fb-4770-a4a8-21b887db49e5,5b54f4d9-c125-47ca-8de1-16cc268394c5
55f61400-5281-49e8-8e73-ae78494ffb9e,e1253403-ae27-4a17-8543-927cd0972295
2f05c23d-586f-4136-820a-b5ea77c3b524,d3d2a9d5-0595-43b5-a9fa-11ad866c394f
3e7333ed-cb48-4200-892d-4f3ebb3c7e8b,1cfa17a6-b05f-487e-af51-24e12f09e819
a8d6e368-798a-43f2-80d9-97ec5426c75d,4da46bae-c109-4cb1-993d-8fd4a4666025
